Model,MSE,R-Squared
Linear Regression,0.24871445401096717,0.7597270415916183
Support Vector Machine,1.2383011935141384,-0.19627261853125821
Decision Tree,0.01916301482434284,0.9814873876865013
XGBoost,0.025422035526034576,0.9754408013442839
